COD. UF,COD. MUNIC,pop
11,00015,22945
11,00023,107863
11,00031,5312
11,00049,85359
11,00056,16323
11,00064,15882
11,00072,7391
11,00080,18331
11,00098,32374
11,00106,46174
11,00114,51775
11,00122,128969
11,00130,39991
11,00148,20474
11,00155,36035
11,00189,36660
11,00205,529544
11,00254,18986
11,00262,3764
11,00288,55058
11,00296,6495
11,00304,99854
11,00320,23005
11,00338,30583
11,00346,14411
11,00379,13241
11,00403,21428
11,00452,39654
11,00502,8538
11,00601,6230
11,00700,14139
11,00809,26693
11,00908,3052
11,00924,11182
11,00940,25215
11,01005,7767
11,01104,10458
11,01203,9660
11,01302,10947
11,01401,15852
11,01435,6970
11,01450,6074
11,01468,2169
11,01476,2856
11,01484,5172
11,01492,20266
11,01500,11856
11,01559,4308
11,01609,10444
11,01708,11467
11,01757,11204
11,01807,6825
12,00013,15256
12,00054,7417
12,00104,26278
12,00138,10266
12,00179,11733
12,00203,88376
12,00252,18411
12,00302,34780
12,00328,8317
12,00336,18977
12,00344,9459
12,00351,18867
12,00385,19761
12,00393,11982
12,00401,407319
12,00427,18930
12,00435,6540
12,00450,23024
12,00500,45848
12,00609,42567
12,00708,19323
12,00807,18504
13,00029,16041
13,00060,11536
13,00086,13614
13,00102,21010
13,00144,21973
13,00201,19921
13,00300,39565
13,00409,27502
13,00508,32041
13,00607,42984
13,00631,19679
13,00680,19207
13,00706,34308
13,00805,41161
13,00839,13081
13,00904,15629
13,01001,28294
13,01100,37869
13,01159,30225
13,01209,85097
13,01308,28637
13,01407,35273
13,01506,20033
13,01605,17609
13,01654,16678
13,01704,55080
13,01803,29689
13,01852,48296
13,01902,101337
13,01951,7851
13,02009,9148
13,02108,2755
13,02207,14712
13,02306,14317
13,02405,46069
13,02504,97377
13,02553,32105
13,02603,2182763
13,02702,55751
13,02801,18224
13,02900,63905
13,03007,21173
13,03106,37378
13,03205,19454
13,03304,25644
13,03403,114273
13,03502,19426
13,03536,36279
13,03569,33347
13,03601,25156
13,03700,21602
13,03809,45564
13,03908,39299
13,03957,14020
13,04005,9171
13,04062,65844
13,04104,17156
13,04203,59849
13,04237,18755
13,04260,13540
13,04302,16256
13,04401,23065
14,00027,12796
14,00050,15510
14,00100,399213
14,00159,12409
14,00175,18335
14,00209,21926
14,00233,10169
14,00282,11950
14,00308,17853
14,00407,11290
14,00456,17401
14,00472,30163
14,00506,8201
14,00605,7986
14,00704,10559
15,00107,157698
15,00131,7434
15,00206,55591
15,00305,39218
15,00347,27430
15,00404,56789
15,00503,34109
15,00602,114594
15,00701,29277
15,00800,530598
15,00859,27890
15,00909,45998
15,00958,31338
15,01006,16388
15,01105,30673
15,01204,47446
15,01253,3286
15,01303,124680
15,01402,1492745
15,01451,17732
15,01501,62737
15,01576,16981
15,01600,16286
15,01709,127686
15,01725,15086
15,01758,7380
15,01782,66046
15,01808,102701
15,01907,29132
15,01956,33900
15,02004,23767
15,02103,137890
15,02152,37085
15,02202,69027
15,02301,54303
15,02400,200793
15,02509,23717
15,02608,12085
15,02707,47864
15,02756,33318
15,02764,13473
15,02772,17929
15,02806,34448
15,02855,14393
15,02905,40066
15,02939,59719
15,02954,33808
15,03002,7194
15,03044,20304
15,03077,26066
15,03093,40475
15,03101,33376
15,03200,38807
15,03309,62698
15,03408,11711
15,03457,64053
15,03507,32550
15,03606,101247
15,03705,53269
15,03754,8239
15,03804,59155
15,03903,57943
15,04000,28935
15,04059,30077
15,04109,8548
15,04208,279349
15,04307,29473
15,04406,28336
15,04422,131521
15,04455,31597
15,04505,27654
15,04604,31136
15,04703,82094
15,04752,16084
15,04802,58032
15,04901,40349
15,04950,21368
15,04976,16678
15,05007,15363
15,05031,25762
15,05064,75919
15,05106,52137
15,05205,32512
15,05304,73096
15,05403,17842
15,05437,32832
15,05486,47706
15,05494,7589
15,05502,113145
15,05536,208273
15,05551,5483
15,05601,8077
15,05635,12981
15,05650,30982
15,05700,31082
15,05809,62043
15,05908,41135
15,06005,29866
15,06104,10825
15,06112,13608
15,06138,84787
15,06161,18193
15,06187,52357
15,06195,50510
15,06203,40675
15,06302,23752
15,06351,21079
15,06401,10128
15,06500,70801
15,06559,19848
15,06583,21449
15,06609,24861
15,06708,72817
15,06807,304589
15,06906,6709
15,07003,31482
15,07102,18050
15,07151,25557
15,07201,31989
15,07300,128481
15,07409,15882
15,07458,24847
15,07466,6139
15,07474,23045
15,07508,13996
15,07607,58986
15,07706,26640
15,07755,5930
15,07805,11658
15,07904,25374
15,07953,106339
15,07961,11720
15,07979,18769
15,08001,63447
15,08035,30959
15,08050,18989
15,08084,39602
15,08100,113659
15,08126,59210
15,08159,45476
15,08209,53686
15,08308,61403
15,08357,15134
15,08407,44751
16,00055,5397
16,00105,9109
16,00154,16502
16,00204,11117
16,00212,5983
16,00238,7780
16,00253,5503
16,00279,50410
16,00303,503327
16,00402,21632
16,00501,27270
16,00535,21971
16,00550,5120
16,00600,121364
16,00709,17315
16,00808,15931
17,00251,2579
17,00301,6733
17,00350,5390
17,00400,7055
17,00707,8412
17,01002,9549
17,01051,3433
17,01101,4795
17,01309,5758
17,01903,7086
17,02000,8517
17,02109,180470
17,02158,5729
17,02208,35761
17,02307,6643
17,02406,10567
17,02554,18412
17,02703,3757
17,02901,9756
17,03008,10664
17,03057,3553
17,03073,4591
17,03107,5632
17,03206,4459
17,03305,4894
17,03602,2201
17,03701,5497
17,03800,11348
17,03826,2275
17,03842,10116
17,03867,4382
17,03883,2580
17,03891,4095
17,03909,5369
17,04105,2905
17,04600,1406
17,05102,3333
17,05508,35424
17,05557,4852
17,05607,4105
17,06001,5588
17,06100,7289
17,06258,1722
17,06506,6097
17,07009,22139
17,07108,6900
17,07207,7198
17,07306,4686
17,07405,10996
17,07553,3835
17,07652,5263
17,07702,8856
17,08205,18440
17,08254,2589
17,08304,5123
17,09005,13019
17,09302,25923
17,09500,86647
17,09807,2015
17,10508,7433
17,10706,5864
17,10904,3777
17,11100,2427
17,11506,3849
17,11803,2193
17,11902,13357
17,11951,4316
17,12009,3134
17,12157,1923
17,12405,3740
17,12454,3108
17,12504,5175
17,12702,2684
17,12801,3426
17,13205,18248
17,13304,13434
17,13601,7947
17,13700,2279
17,13809,6658
17,13957,3551
17,14203,9244
17,14302,3898
17,14880,11819
17,15002,4260
17,15101,4342
17,15150,2332
17,15259,2722
17,15507,1112
17,15705,6026
17,15754,7659
17,16109,51252
17,16208,10449
17,16307,4849
17,16505,13578
17,16604,11749
17,16653,5477
17,16703,8205
17,17008,4447
17,17206,3028
17,17503,7654
17,17800,4596
17,17909,8039
17,18006,3139
17,18204,53010
17,18303,8432
17,18402,3684
17,18451,2688
17,18501,4293
17,18550,4645
17,18659,2130
17,18709,2834
17,18758,6478
17,18808,4711
17,18840,3375
17,18865,7512
17,18881,3434
17,18899,2365
17,18907,4829
17,19004,2866
17,20002,2529
17,20101,5324
17,20150,1585
17,20200,12139
17,20259,3082
17,20309,4805
17,20499,3960
17,20655,5403
17,20804,9029
17,20853,1966
17,20903,16683
17,20937,2148
17,20978,2793
17,21000,299127
17,21109,7545
17,21208,22870
17,21257,1891
17,21307,2671
17,22081,11683
17,22107,11540
21,00055,112445
21,00105,6524
21,00154,12571
21,00204,22097
21,00303,26532
21,00402,8128
21,00436,27053
21,00477,31919
21,00501,11190
21,00550,6962
21,00600,41435
21,00709,26803
21,00808,15732
21,00832,17239
21,00873,15426
21,00907,46440
21,00956,32701
21,01004,29848
21,01103,12130
21,01202,104949
21,01251,17055
21,01301,18582
21,01350,5644
21,01400,94887
21,01509,18820
21,01608,88212
21,01707,62528
21,01731,7469
21,01772,11209
21,01806,5632
21,01905,21280
21,01939,6043
21,01970,9287
21,02002,41630
21,02036,34028
21,02077,16294
21,02101,36397
21,02150,9188
21,02200,28678
21,02309,23884
21,02325,72358
21,02358,15430
21,02374,9431
21,02408,11177
21,02507,19379
21,02556,14374
21,02606,20178
21,02705,21995
21,02754,10934
21,02804,24322
21,02903,23807
21,03000,164880
21,03109,10675
21,03125,8673
21,03158,13458
21,03174,21622
21,03208,79675
21,03257,14697
21,03307,122859
21,03406,49435
21,03505,41178
21,03554,16237
21,03604,65296
21,03703,32695
21,03752,12908
21,03802,23350
21,03901,11349
21,04008,17241
21,04057,41946
21,04073,8504
21,04081,10360
21,04099,19089
21,04107,12631
21,04206,15552
21,04305,11819
21,04404,17934
21,04503,10840
21,04552,18296
21,04602,16828
21,04628,7807
21,04651,10180
21,04677,25577
21,04701,6262
21,04800,69527
21,04909,12030
21,05005,28717
21,05104,27113
21,05153,14177
21,05203,11320
21,05302,258682
21,05351,16057
21,05401,68203
21,05427,26000
21,05450,10153
21,05476,16515
21,05500,23632
21,05609,16168
21,05658,3432
21,05708,50266
21,05807,10840
21,05906,16257
21,05922,11250
21,05948,8873
21,05963,11394
21,05989,7550
21,06003,11893
21,06102,12157
21,06201,6951
21,06300,19826
21,06326,21395
21,06359,7792
21,06375,16265
21,06409,16829
21,06508,23370
21,06607,33782
21,06631,16745
21,06672,8464
21,06706,21015
21,06755,28381
21,06805,14962
21,06904,33434
21,07001,9160
21,07100,19433
21,07209,14454
21,07258,5384
21,07308,4683
21,07357,20928
21,07407,19505
21,07456,14701
21,07506,122197
21,07605,19722
21,07704,21386
21,07803,34907
21,07902,19019
21,08009,19472
21,08058,16035
21,08108,21040
21,08207,39229
21,08256,25144
21,08306,38470
21,08405,14318
21,08454,23196
21,08504,32941
21,08603,83387
21,08702,21485
21,08801,18625
21,08900,17873
21,09007,23885
21,09056,5975
21,09106,47804
21,09205,12734
21,09239,7015
21,09270,18918
21,09304,11193
21,09403,15315
21,09452,30761
21,09502,20195
21,09551,7791
21,09601,42740
21,09700,5671
21,09759,7773
21,09809,42130
21,09908,89044
21,10005,72667
21,10039,25254
21,10104,25642
21,10203,37855
21,10237,13386
21,10278,15846
21,10302,14528
21,10401,18663
21,10500,45211
21,10609,28507
21,10658,7392
21,10708,34376
21,10807,4585
21,10856,11798
21,10906,12210
21,11003,20665
21,11029,15808
21,11052,11177
21,11078,18543
21,11102,25929
21,11201,177687
21,11250,7641
21,11300,1101884
21,11409,18856
21,11508,41529
21,11532,12690
21,11573,4668
21,11607,18868
21,11631,5237
21,11672,6719
21,11706,22247
21,11722,13914
21,11748,11141
21,11763,14293
21,11789,10253
21,11805,18081
21,11904,10636
21,11953,5660
21,12001,8521
21,12100,29124
21,12209,169107
21,12233,21998
21,12274,5840
21,12308,41832
21,12407,35604
21,12456,25619
21,12506,58860
21,12605,33122
21,12704,56510
21,12803,52441
21,12852,13392
21,12902,32764
21,13009,31523
21,14007,51714
22,00053,7084
22,00103,5139
22,00202,17411
22,00251,7651
22,00277,4915
22,00301,14304
22,00400,40524
22,00459,5419
22,00509,17598
22,00608,6788
22,00707,9880
22,00806,3164
22,00905,5835
22,00954,2551
22,01002,4727
22,01051,7846
22,01101,11289
22,01150,11586
22,01176,3951
22,01200,47066
22,01309,3348
22,01408,7032
22,01507,26857
22,01556,4015
22,01572,3566
22,01606,10467
22,01705,5501
22,01739,6205
22,01770,6781
22,01804,4500
22,01903,25179
22,01919,5630
22,01929,5670
22,01945,6407
22,01960,8329
22,01988,3875
22,02000,19781
22,02026,8244
22,02059,10586
22,02075,3559
22,02083,7642
22,02091,5776
22,02109,5613
22,02117,5045
22,02133,5943
22,02174,7279
22,02208,46833
22,02251,3950
22,02307,21187
22,02406,11417
22,02455,4100
22,02505,10916
22,02539,5868
22,02554,5067
22,02604,19716
22,02653,5424
22,02703,27787
22,02711,4891
22,02729,6153
22,02737,4020
22,02752,6484
22,02778,7656
22,02802,4803
22,02851,4682
22,02901,26644
22,03008,8294
22,03107,10423
22,03206,11388
22,03230,4954
22,03255,4443
22,03271,5343
22,03305,13817
22,03354,7011
22,03404,6904
22,03420,4355
22,03453,9556
22,03503,14602
22,03602,4915
22,03701,39737
22,03750,5307
22,03800,4463
22,03859,2558
22,03909,59935
22,04006,5348
22,04105,4348
22,04154,3184
22,04204,9319
22,04303,11625
22,04352,5442
22,04402,10690
22,04501,10499
22,04550,4562
22,04600,3877
22,04659,9426
22,04709,15308
22,04808,9811
22,04907,8549
22,05003,11530
22,05102,11019
22,05151,5741
22,05201,19104
22,05250,4504
22,05276,4865
22,05300,4452
22,05359,3008
22,05409,14354
22,05458,5443
22,05508,39208
22,05516,5478
22,05524,5627
22,05532,4763
22,05540,2845
22,05557,8542
22,05565,4655
22,05573,6758
22,05581,4064
22,05599,5177
22,05607,5295
22,05706,30311
22,05805,25486
22,05854,8310
22,05904,5349
22,05953,8492
22,06001,4549
22,06050,6441
22,06100,10936
22,06209,33760
22,06308,1246
22,06357,6613
22,06407,10564
22,06506,7749
22,06605,10613
22,06654,4532
22,06670,6796
22,06696,9159
22,06704,7339
22,06720,8570
22,06753,4870
22,06803,8692
22,06902,6565
22,06951,2991
22,07009,37029
22,07108,2459
22,07207,6868
22,07306,4129
22,07355,3389
22,07405,5043
22,07504,14539
22,07553,3945
22,07603,10791
22,07702,153078
22,07751,4313
22,07777,6392
22,07793,4045
22,07801,20523
22,07850,3677
22,07900,38742
22,07934,2536
22,07959,4374
22,08007,78222
22,08106,12127
22,08205,18425
22,08304,28791
22,08403,63742
22,08502,12568
22,08551,2710
22,08601,3151
22,08650,8992
22,08700,8778
22,08809,17978
22,08858,4312
22,08874,4477
22,08908,7341
22,09005,6432
22,09104,6240
22,09153,4019
22,09203,6253
22,09302,5860
22,09351,4634
22,09377,5257
22,09401,6415
22,09450,2161
22,09500,3798
22,09559,4448
22,09609,2942
22,09658,5755
22,09708,6423
22,09757,3041
22,09807,5015
22,09856,4608
22,09872,6042
22,09906,6139
22,09955,4840
22,09971,7989
22,10003,20601
22,10052,5346
22,10102,3745
22,10201,6705
22,10300,6363
22,10359,4573
22,10375,2644
22,10383,2452
22,10391,3039
22,10409,17662
22,10508,14291
22,10607,34710
22,10623,3469
22,10631,4294
22,10656,10041
22,10706,14633
22,10805,12711
22,10904,4569
22,10938,6730
22,10953,2919
22,10979,2765
22,11001,864845
22,11100,44485
22,11209,21558
22,11308,20918
22,11357,4947
22,11407,4391
22,11506,3077
22,11605,2971
22,11704,4462
23,00101,11737
23,00150,14929
23,00200,62641
23,00309,54270
23,00408,17399
23,00507,11714
23,00606,7586
23,00705,17146
23,00754,43452
23,00804,7353
23,00903,14600
23,01000,80271
23,01109,74547
23,01208,26469
23,01257,10935
23,01307,21600
23,01406,11847
23,01505,7840
23,01604,23417
23,01703,24654
23,01802,6288
23,01851,18197
23,01901,60781
23,01950,22425
23,02008,22680
23,02057,15017
23,02107,35750
23,02206,53573
23,02305,32591
23,02404,54470
23,02503,49477
23,02602,63661
23,02701,27426
23,02800,76997
23,02909,17738
23,03006,22547
23,03105,18448
23,03204,26965
23,03303,18699
23,03402,17606
23,03501,71743
23,03600,20698
23,03659,10342
23,03709,361400
23,03808,25557
23,03907,13069
23,03931,13521
23,03956,20264
23,04004,23136
23,04103,75074
23,04202,132123
23,04236,18063
23,04251,24827
23,04269,9625
23,04277,7198
23,04285,53618
23,04301,19450
23,04350,24218
23,04400,2669342
23,04459,16480
23,04509,14072
23,04608,7618
23,04657,14399
23,04707,54748
23,04806,4844
23,04905,11068
23,04954,26064
23,05001,40642
23,05100,5193
23,05209,19978
23,05233,67337
23,05266,13353
23,05308,24997
23,05332,12525
23,05357,19934
23,05407,68018
23,05506,102498
23,05605,26178
23,05654,11593
23,05704,12463
23,05803,41964
23,05902,38166
23,06009,14297
23,06108,24156
23,06207,7827
23,06256,37980
23,06306,52675
23,06405,129358
23,06504,20382
23,06553,41826
23,06603,21647
23,06702,18162
23,06801,11401
23,06900,34682
23,07007,33705
23,07106,27174
23,07205,8111
23,07254,19816
23,07304,274207
23,07403,24833
23,07502,31508
23,07601,59540
23,07635,19691
23,07650,227886
23,07700,128978
23,07809,27361
23,07908,11233
23,08005,38737
23,08104,47962
23,08203,15057
23,08302,27512
23,08351,13155
23,08377,13818
23,08401,35393
23,08500,43797
23,08609,17234
23,08708,61890
23,08807,8724
23,08906,22534
23,09003,14537
23,09102,10823
23,09201,15565
23,09300,32328
23,09409,28607
23,09458,25703
23,09508,21427
23,09607,72203
23,09706,83432
23,09805,12261
23,09904,6533
23,10001,9386
23,10100,13322
23,10209,35076
23,10258,32744
23,10308,31521
23,10407,12226
23,10506,43258
23,10605,9077
23,10704,37751
23,10803,16307
23,10852,20567
23,10902,16959
23,10951,10951
23,11009,12336
23,11108,14996
23,11207,11045
23,11231,6419
23,11264,21084
23,11306,87728
23,11355,16178
23,11405,81082
23,11504,22149
23,11603,29053
23,11702,18491
23,11801,78194
23,11900,15819
23,11959,16554
23,12007,32452
23,12106,17700
23,12205,43703
23,12304,47903
23,12403,48422
23,12502,7645
23,12601,13000
23,12700,25496
23,12809,7623
23,12908,208935
23,13005,18324
23,13104,30697
23,13203,26251
23,13252,8592
23,13302,58859
23,13351,19187
23,13401,75946
23,13500,55918
23,13559,16271
23,13609,34792
23,13708,7733
23,13757,19825
23,13807,21850
23,13906,13840
23,13955,18420
23,14003,40721
23,14102,60889
24,00109,11136
24,00208,58017
24,00307,11035
24,00406,3252
24,00505,13577
24,00604,4735
24,00703,14529
24,00802,11714
24,00901,7145
24,01008,35845
24,01107,27774
24,01206,14306
24,01305,9655
24,01404,9271
24,01453,28374
24,01503,3998
24,01602,5497
24,01651,2223
24,01701,10210
24,01800,12699
24,01859,6549
24,01909,3684
24,02006,67952
24,02105,11217
24,02204,34276
24,02303,20493
24,02402,8180
24,02501,10759
24,02600,73497
24,02709,11179
24,02808,5506
24,02907,4912
24,03004,7998
24,03103,44786
24,03202,7076
24,03251,261469
24,03301,5638
24,03400,6045
24,03509,10505
24,03608,28583
24,03707,5985
24,03756,3054
24,03806,9116
24,03905,2824
24,04002,4068
24,04101,2786
24,04200,26328
24,04309,13037
24,04408,10383
24,04507,15659
24,04606,13766
24,04705,15491
24,04804,2241
24,04853,7548
24,04903,5878
24,05009,9133
24,05108,6878
24,05207,5268
24,05306,10181
24,05405,5055
24,05504,2612
24,05603,14837
24,05702,12396
24,05801,34955
24,05900,2654
24,06007,5951
24,06106,18295
24,06155,3898
24,06205,6769
24,06304,7544
24,06403,2732
24,06502,15614
24,06601,8245
24,06700,11277
24,06809,4759
24,06908,3996
24,07005,10116
24,07104,80792
24,07203,31814
24,07252,4020
24,07302,8347
24,07401,8725
24,07500,12371
24,07609,4601
24,07708,11251
24,07807,22451
24,07906,2105
24,08003,297378
24,08102,884122
24,08201,27602
24,08300,37343
24,08409,4258
24,08508,4812
24,08607,4254
24,08706,3768
24,08805,5237
24,08904,21477
24,08953,10848
24,09100,13277
24,09209,3089
24,09308,12755
24,09332,5551
24,09407,30394
24,09506,3237
24,09605,2458
24,09704,6716
24,09803,14806
24,09902,15129
24,10009,3838
24,10108,15413
24,10207,7867
24,10256,6437
24,10306,10395
24,10405,9621
24,10504,5098
24,10603,3201
24,10702,3579
24,10801,4204
24,10900,8128
24,11007,4467
24,11056,4106
24,11106,3600
24,11205,39674
24,11403,12791
24,11429,2680
24,11502,24136
24,11601,2747
24,11700,4449
24,11809,3584
24,11908,4228
24,12005,102400
24,12104,6193
24,12203,43899
24,12302,12856
24,12401,4634
24,12500,23519
24,12559,10282
24,12609,17579
24,12708,5971
24,12807,8202
24,12906,11055
24,13003,6424
24,13102,6086
24,13201,4440
24,13300,5762
24,13359,11938
24,13409,8078
24,13508,6229
24,13557,4800
24,13607,2440
24,13706,5522
24,13805,2566
24,13904,12279
24,14001,15727
24,14100,10786
24,14159,5952
24,14209,14180
24,14308,2414
24,14407,33287
24,14456,3237
24,14506,10555
24,14605,14659
24,14704,5500
24,14753,4177
24,14803,12481
24,14902,1718
24,15008,3170
25,00106,10234
25,00205,5640
25,00304,28496
25,00403,20849
25,00502,14489
25,00536,5492
25,00577,2567
25,00601,19588
25,00700,18034
25,00734,2238
25,00775,8347
25,00809,16987
25,00908,13470
25,01005,20312
25,01104,22819
25,01153,2128
25,01203,6998
25,01302,19153
25,01351,3990
25,01401,8993
25,01500,21318
25,01534,4892
25,01575,8359
25,01609,15384
25,01708,6036
25,01807,96880
25,01906,17676
25,02003,7342
25,02052,3501
25,02102,5366
25,02151,7051
25,02201,2561
25,02300,4975
25,02409,11917
25,02508,17804
25,02607,6117
25,02706,5263
25,02805,14122
25,02904,6449
25,03001,21828
25,03100,5611
25,03209,67736
25,03308,10244
25,03407,3682
25,03506,17187
25,03555,7173
25,03605,7201
25,03704,61993
25,03753,3193
25,03803,6014
25,03902,6013
25,04009,409731
25,04033,6523
25,04074,4162
25,04108,2659
25,04157,7468
25,04207,4932
25,04306,30546
25,04355,4852
25,04405,18982
25,04504,6654
25,04603,24670
25,04702,4786
25,04801,15445
25,04850,1921
25,04900,17319
25,05006,7797
25,05105,20338
25,05204,6803
25,05238,6353
25,05279,5227
25,05303,2516
25,05352,5330
25,05402,8297
25,05501,3798
25,05600,6552
25,05709,10453
25,05808,3596
25,05907,3522
25,06004,33007
25,06103,11253
25,06202,2989
25,06251,8316
25,06301,58833
25,06400,14129
25,06509,3428
25,06608,5929
25,06707,11819
25,06806,18103
25,06905,24477
25,07002,24692
25,07101,18664
25,07200,10962
25,07309,14431
25,07408,7739
25,07507,809015
25,07606,7936
25,07705,18171
25,07804,7150
25,07903,10756
25,08000,9867
25,08109,4666
25,08208,7719
25,08307,27503
25,08406,2737
25,08505,7256
25,08554,4332
25,08604,13080
25,08703,4009
25,08802,5759
25,08901,44882
25,09008,10955
25,09057,8558
25,09107,21837
25,09156,6617
25,09206,13918
25,09305,8434
25,09339,4500
25,09370,2908
25,09396,6569
25,09404,13284
25,09503,5669
25,09602,4816
25,09701,33222
25,09800,9902
25,09909,10454
25,10006,7301
25,10105,10638
25,10204,5949
25,10303,4906
25,10402,6526
25,10501,3932
25,10600,3039
25,10659,1771
25,10709,2419
25,10808,107605
25,10907,12347
25,11004,3801
25,11103,7843
25,11202,28458
25,11301,16075
25,11400,18703
25,11509,11917
25,11608,6635
25,11707,4976
25,11806,10579
